MODEL,MODEL_ARCH,FINETUNE,DATASET,NUM_CLASS,SEED
RETFound_mae,retfound_mae,RETFound_mae_natureCFP,APTOS2019,5,3
RETFound_mae,retfound_mae,RETFound_mae_meh,APTOS2019,5,3
RETFound_mae,retfound_mae,RETFound_mae_shanghai,APTOS2019,5,3
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_meh,APTOS2019,5,3
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_shanghai,APTOS2019,5,3
Dinov2,dinov2_vitl14,dinov2_vitl14_pretrain.pth,APTOS2019,5,3
Dinov3,dinov3_vitl16plus,dinov3_vitl16_pretrain_lvd1689m-8aa4cbdd.pth,APTOS2019,5,3
RETFound_mae,retfound_mae,RETFound_mae_natureCFP,MESSIDOR2,5,3
RETFound_mae,retfound_mae,RETFound_mae_meh,MESSIDOR2,5,3
RETFound_mae,retfound_mae,RETFound_mae_shanghai,MESSIDOR2,5,3
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_meh,MESSIDOR2,5,3
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_shanghai,MESSIDOR2,5,3
Dinov2,dinov2_vitl14,dinov2_vitl14_pretrain.pth,MESSIDOR2,5,3
Dinov3,dinov3_vitl16plus,dinov3_vitl16_pretrain_lvd1689m-8aa4cbdd.pth,MESSIDOR2,5,3
RETFound_mae,retfound_mae,RETFound_mae_natureCFP,IDRiD_data,5,3
RETFound_mae,retfound_mae,RETFound_mae_meh,IDRiD_data,5,3
RETFound_mae,retfound_mae,RETFound_mae_shanghai,IDRiD_data,5,3
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_meh,IDRiD_data,5,3
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_shanghai,IDRiD_data,5,3
Dinov2,dinov2_vitl14,dinov2_vitl14_pretrain.pth,IDRiD_data,5,3
Dinov3,dinov3_vitl16plus,dinov3_vitl16_pretrain_lvd1689m-8aa4cbdd.pth,IDRiD_data,5,3
RETFound_mae,retfound_mae,RETFound_mae_natureCFP,Glaucoma_fundus,3,3
RETFound_mae,retfound_mae,RETFound_mae_meh,Glaucoma_fundus,3,3
RETFound_mae,retfound_mae,RETFound_mae_shanghai,Glaucoma_fundus,3,3
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_meh,Glaucoma_fundus,3,3
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_shanghai,Glaucoma_fundus,3,3
Dinov2,dinov2_vitl14,dinov2_vitl14_pretrain.pth,Glaucoma_fundus,3,3
Dinov3,dinov3_vitl16plus,dinov3_vitl16_pretrain_lvd1689m-8aa4cbdd.pth,Glaucoma_fundus,3,3
RETFound_mae,retfound_mae,RETFound_mae_natureCFP,PAPILA,3,3
RETFound_mae,retfound_mae,RETFound_mae_meh,PAPILA,3,3
RETFound_mae,retfound_mae,RETFound_mae_shanghai,PAPILA,3,3
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_meh,PAPILA,3,3
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_shanghai,PAPILA,3,3
Dinov2,dinov2_vitl14,dinov2_vitl14_pretrain.pth,PAPILA,3,3
Dinov3,dinov3_vitl16plus,dinov3_vitl16_pretrain_lvd1689m-8aa4cbdd.pth,PAPILA,3,3
RETFound_mae,retfound_mae,RETFound_mae_natureCFP,Retina,4,3
RETFound_mae,retfound_mae,RETFound_mae_meh,Retina,4,3
RETFound_mae,retfound_mae,RETFound_mae_shanghai,Retina,4,3
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_meh,Retina,4,3
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_shanghai,Retina,4,3
Dinov2,dinov2_vitl14,dinov2_vitl14_pretrain.pth,Retina,4,3
Dinov3,dinov3_vitl16plus,dinov3_vitl16_pretrain_lvd1689m-8aa4cbdd.pth,Retina,4,3
